method,base_conditions,distribution_score,distribution_score_ci_low,distribution_score_ci_high,paired_angle_deg,paired_angle_deg_ci_low,paired_angle_deg_ci_high,angular_energy_distance_deg,angular_energy_distance_deg_ci_low,angular_energy_distance_deg_ci_high,fair_energy_score,fair_energy_score_ci_low,fair_energy_score_ci_high
flare,33,0.7621787921645601,0.6604521054622073,0.8444245819734802,36.72008788946903,31.930691066655246,41.38413790645021,15.302517515240293,13.317617384592692,17.263131338177306,0.3930459053258612,0.3557456045308295,0.4295473297245125
poseidon_t,33,0.3413717183029417,0.07665817077730121,0.7492168461006776,35.59939141706987,30.60050335219412,41.11381545789312,25.046336925390996,17.85610083991831,34.559418286337994,0.7514503589563404,0.6723144495098705,0.8300895256749494
cno_fm,33,0.6947584455888802,0.5768917762145581,0.7868891782977622,34.42880957054369,30.41019355094794,38.33126298947767,21.815092650326815,17.941255590771185,26.225610293041576,0.7451270662478413,0.6819938934717098,0.8065482135245587
dpot_ti,33,0.706582997375984,0.598567583501078,0.8027017885534662,39.811180028048426,34.457820826588254,45.58692931334177,27.018298409201883,19.983332745956652,36.57843995022049,0.8139951518425543,0.7349209701555608,0.8933481381348397
mpp_avit_ti,33,0.2900139112543791,0.059093515065710735,0.763630671509336,49.41134111809008,43.24389264222347,56.211589688965766,42.09678226528746,32.57307829242764,52.9315652399352,0.9303392073765269,0.8489005487444852,1.014690046193584
pdearena_unet,33,0.5973969369178486,0.3938777129953463,0.7792189861966309,37.26314264355284,32.48300890922547,42.15556560212915,24.027248816056684,19.429119599949228,28.985060274239743,0.7743212681995487,0.6968649281069285,0.8496049522871224
le_pde,33,0.001787113280647946,7.133394368285631e-05,0.02931765188867473,76.178804917769,70.3087767832207,81.78039995540273,77.96058949557218,65.48803816997645,91.86978910475067,1.2691841864865023,1.206784624818676,1.3279321518631468
neuralmag_x5,33,0.3155977467295287,0.06837560392880103,0.7309206097000119,53.53867603070808,47.41345652233471,59.54037596601428,36.75716293219364,29.04911852099679,45.57944060094428,0.626819951943704,0.5623486171140193,0.6904414306938766
cartesian_cfm,33,0.7113942555113062,0.5626524680676835,0.8209738183211787,39.88205444451535,35.538219558108935,44.21011028723283,17.908906416459516,15.524444431247133,20.476441874648586,0.420218144059481,0.3832205003465868,0.4555062730687787
direct_unet,33,0.4765777759448598,0.1899727538814258,0.7828050680456455,38.53084067142371,34.44230170105443,42.76478768695484,21.405144691467285,18.16796614040028,24.909320604439934,0.807740721841149,0.7453993890499165,0.8673907984198448
